dataID	context	indices_target_token	indices_target_sentence	lemma
912_(2 Corinthians 5:7)	For we walk by faith, not by sight explained: For we walk by faith [we regulate our lives and conduct ourselves by our conviction or belief respecting man's relationship to God and divine things, with trust and holy fervor; thus we walk], not by sight or appearance.	0:34	0:266	For we walk by faith, not by sight
925_(2 Corinthians 5:7)	The world cannot remedy anything for anyone. Pride makes us seek mankind's approval or mercy. Humility strives to remain humble & thanks God for the lesson learnt through our trials. "For we walk by faith, not by sight". Follow, not the majority but God's authority!	184:218	0:266	For we walk by faith, not by sight
900_(2 Corinthians 5:7)	2 Corinthians 5:7 is a reminder and exhortation that believers are to "walk by faith, not by sight.""Walk" speaks of how we live our lives, conduct ourselves, behave, and use the time and opportunities God has ordained for us.	71:98	0:226	For we walk by faith, not by sight
902_(2 Corinthians 5:7)	Faith enables us to see the invisible, hear the inaudible, believe the incredible and stand against the inevitable. "For we walk by faith, not by sight."	117:151	0:153	For we walk by faith, not by sight
911_(2 Corinthians 5:7)	"For we walk by Faith, not by sight"What does this verse mean to you? To me, Faith is the unwavering light that illuminates our path even in the darkest of times. It's the anchor of God's love that keeps us steady when storms of doubt & fear are raging. With faith, we embrace the uncertain, trusting there is a greater plan. It empowers us to persevere &believe in miracles. Let it be the spark that ignites your spirit, reminding us you're never alone. Faith in God has power to move mountains & awaken the extraordinary within you.	1:35	0:534	For we walk by faith, not by sight
907_(2 Corinthians 5:7)	For we walk by faith, not by sight. Our humanity desires to know what's happening next, to have insight into where God is leading us, but walking with God sometimes means to walk in the dark.	0:34	0:191	For we walk by faith, not by sight
918_(2 Corinthians 5:7)	Good morning! ☀ Your verse for today:"For we walk by faith, not by sight." 🌌 Walking by faith and not by sight requires you to go to a place you do not know, one that God will reveal as you walk in obedience. Just look to Abraham as an example 	38:72	0:244	For we walk by faith, not by sight
924_(2 Corinthians 5:7)	"For we walk by faith, not by sight." In life, not everything is what it seems. Instead of honing down on how you feel about a specific situation and possibly acting impulsively, take a deep breath and let your faith help you make a better decision.	1:35	0:249	For we walk by faith, not by sight
929_(2 Corinthians 5:7)	God has blessed you with the ability to achieve your goals, the courage to pursue your dreams, and the faith to believe in His promises. For we walk by faith, not by sight.	137:171	0:172	For we walk by faith, not by sight
928_(2 Corinthians 5:7)	Following God's plan is not always easy. When you have faith and trust him, he puts amazing people in your life to fulfill those dreams. "For we walk by faith, not by sight."	138:172	0:174	For we walk by faith, not by sight
919_(2 Corinthians 5:7)	Remember: For we walk by faith, not by sight. Deconstruction can feel like walking in the dark, but it's a part of our faith journey. Keep walking, keep seeking. #FaithJourney #2Corinthians	10:44	0:189	For we walk by faith, not by sight
